"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1501,"VG1331","2","2"
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1503,"MAT1005","5","-"
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1503,"MAT1001","5","-"
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1506,"MAT1011","5","-"
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1506,"REA3028","GK","-"
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1506,"REA3026","GK","-"
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1508,"HS1010","3","-"
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1508,"VF1320","3","-"
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1509,"MAT1015","3","2"
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1509,"MAT1011","2","-"
